Account Info - 14-03-2022
Account  ;1234567890987; EUR  ;ORDEM ;DraftAccount ;
Start Date ;31-08-2021
End Date ;03-02-2022
Date ;Value Date ;Description ;Draft ;Credit ;Accounting balance ;Available balance 
31-08-2021 ;31-08-2021 ;SUMMARY ;-3100.0 ;3200.0 ;3001.52 ;3001.52
30-09-2021 ;30-09-2021 ;SUMMARY ;-3100.0 ;3200.0 ;3101.52 ;3101.52
31-10-2021 ;31-10-2021 ;SUMMARY ;-3100.0 ;3200.0 ;3201.52 ;3201.52
30-11-2021 ;30-11-2021 ;SUMMARY ;-3100.0 ;3200.0 ;3301.52 ;3301.52
31-12-2021 ;31-12-2021 ;SUMMARY ;-1875.98 ;0.0 ;1425.54 ;1425.54
31-01-2022 ;31-01-2022 ;SUMMARY ;-600.65 ;600.0 ;1424.89 ;1424.89
01-02-2022 ;01-02-2022 ;PURCHASE ;-100.0 ;0.0 ;1324.89 ;1324.89
03-02-2022 ;03-02-2022 ;LOW VALUE ;-150.65 ;0.0 ;1174.24 ;1174.24
03-02-2022 ;03-02-2022 ;TRANSF ;0.0 ;600.0 ;1774.24 ;1774.24
03-02-2022 ;03-02-2022 ;INSTALMENT ;-150.0 ;0.0 ;1624.24 ;1624.24
03-02-2022 ;03-02-2022 ;PURCHASE ;-200.0 ;0.0 ;1424.24 ;1424.24
